46.058442 -1.077823 6.5 5
46.058406 -1.07793 6.5 4
46.058358 -1.078031 6.6 5
46.05832 -1.078151 6.8 6
46.058299 -1.078273 7 4
46.058291 -1.078399 7.2 4
46.058273 -1.078531 7.4 4
46.058262 -1.078671 7.5 4
46.058256 -1.078818 7.5 5
46.058244 -1.078956 7.6 5
46.058231 -1.079094 7.7 5
46.058216 -1.079228 7.8 5
46.058207 -1.079345 7.7 4
46.058183 -1.079483 7.6 5
46.058142 -1.079623 7.5 5
46.058085 -1.079734 7.3 5
46.058035 -1.079854 7.2 4
46.057959 -1.079948 7.1 5
46.057902 -1.080063 7 5
46.057865 -1.08017 6.9 3
46.057843 -1.080283 6.8 4
46.05784 -1.080424 6.7 5
46.057861 -1.08054 6.6 4
46.057889 -1.080653 6.9 4
46.057893 -1.080771 7.2 4
46.0579 -1.08091 7.5 5
46.057901 -1.081039 7.7 5
46.057901 -1.081172 7.9 5
46.057899 -1.081301 8.1 4
46.057884 -1.081423 8.4 4
46.057872 -1.081539 8.6 4
46.057871 -1.081663 8.9 5
46.057883 -1.081786 9.2 4
46.057896 -1.081928 9.4 5
46.057905 -1.082057 9.4 5
46.057919 -1.082176 9.5 4
46.05793 -1.082325 9.7 5
46.057961 -1.082447 10 4
46.057987 -1.082571 10.3 4
46.058021 -1.082683 10.5 5
46.057968 -1.08279 10.7 5
46.057904 -1.082864 10.9 4
46.05782 -1.082915 11.1 6
46.057729 -1.082945 11.3 5
46.05764 -1.082919 11.5 4
46.057556 -1.082948 11.8 4
46.057476 -1.08298 12 4
46.057394 -1.083006 12 5
46.057297 -1.083012 12 4
46.057211 -1.083017 12 4
46.057127 -1.083017 12 4
46.057035 -1.083006 12 4
46.05694 -1.083008 12 4
46.056849 -1.083033 12 5
46.056769 -1.083062 12 4
46.056681 -1.08307 11.6 4
46.0566 -1.083102 11.3 4
46.056515 -1.083111 10.9 4
46.05642 -1.083114 10.5 5
46.056343 -1.08318 10.2 5
46.056241 -1.083206 9.8 5
46.056159 -1.083225 9.5 4
46.056068 -1.083247 9.1 5
46.055976 -1.083279 8.7 4
46.055888 -1.083341 8.4 5
46.055802 -1.083403 7.9 4
46.055718 -1.083473 7.8 5
